Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Age group (product.metafields.shopify.age-group),Bracelet design (product.metafields.shopify.bracelet-design),Color (product.metafields.shopify.color-pattern),Earring design (product.metafields.shopify.earring-design),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
double-the-love-starburst-bracelet,,,,,,,,,brown,,,Size,,,,,,0.0,,5,deny,manual,22.00,,true,true,,,,,"",,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,blue,,,5,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,blue,,,6,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,blue,,,7,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,blue,,,8,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,blue,,,9,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,purple,,,5,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,purple,,,6,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,purple,,,7,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,purple,,,8,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,purple,,,9,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,pink,,,5,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,pink,,,6,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,pink,,,7,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,pink,,,8,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,pink,,,9,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,white,,,5,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,white,,,6,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,white,,,7,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,white,,,8,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,white,,,9,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,yellow,,,5,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,yellow,,,6,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,yellow,,,7,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,yellow,,,8,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,yellow,,,9,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,red,,,5,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,red,,,6,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,red,,,7,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,red,,,8,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,red,,,9,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,aqua,,,5,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,aqua,,,6,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,aqua,,,7,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,aqua,,,8,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,aqua,,,9,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,brown,,,5,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,brown,,,6,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,brown,,,7,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,brown,,,8,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,brown,,,9,,,,,,0.0,,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
hit-the-dice-bangle,Hit the Dice Bangle,"<p><span>The Hit the Dice Bangle features a unique combination of black and white dice paired with chunky gold-filled beads. This design not only enhances visual appeal but also offers durability and a luxurious feel. The bangle serves as an intriguing accessory that can complement various outfits, making it a versatile addition to your jewelry collection.</span></p>",BeUniqueBeads ,Apparel & Accessories > Jewelry > Bracelets,"","",true,Title,Default Title,,,,,,,,,0.0,,20,deny,manual,65.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0818/0406/7051/files/CE6E2397-374D-4B9A-A84A-F77A56A01443.jpg?v=1773112909,1,"",false,,,adults,cuff,geometric,,gold,imitation-jewelry,unisex,,lb,,,active
untitled-mar16_22-22,Untitled Mar16_22:22,"<p><span> Build a Bear Gold Filled Bracelet! This stunning piece elevates any outfit, adding a touch of elegance and charm. Crafted with care, it promises durability and a radiant shine that captures attention. Adorn your wrist with a symbol of joy and creativity!</span></p>",BeUniqueBeads ,,"","",false,Bracelet length,6 inches,,,,,,,,,0.0,shopify,0,deny,manual,15.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0818/0406/7051/files/B80E954B-C4A8-4F8B-BF85-556AEEC6D8B1.jpg?v=1773714978,1,"",false,,,,,,,,,,,lb,,,active
untitled-mar16_22-22,,,,,,,,,6.5 inches,,,,,,,,,0.0,shopify,0,deny,manual,15.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
untitled-mar16_22-22,,,,,,,,,7 inches,,,,,,,,,0.0,shopify,0,deny,manual,15.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
untitled-mar16_22-22,,,,,,,,,7.5 inches,,,,,,,,,0.0,shopify,0,deny,manual,15.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
untitled-mar16_22-26,Untitled Mar16_22:26,"<p> <span>These brown medium stardust earrings incorporate gold-filled beads, offering a unique aesthetic that combines elegance with durability. The design is both lightweight and striking, suitable for various occasions. The gold-filled material ensures resistance to tarnishing, providing a lasting accessory choice.</span></p>",BeUniqueBeads ,Apparel & Accessories > Jewelry > Earrings,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,20.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0818/0406/7051/files/C22C90FE-AFA6-45F6-8F70-78281398EE77.jpg?v=1773714978,1,"",false,,,,,,,,,,,lb,,,active
